title,artists,album,genre,popularity,year,album_cover
Die With A Smile,Lady Gaga | Bruno Mars,Die With A Smile,Pop,96,2020,https://i.scdn.co/image/ab67616d00001e0282ea2e9e1858aa012c57cd45
BIRDS OF A FEATHER,Billie Eilish,HIT ME HARD AND SOFT,Pop,93,2020,https://i.scdn.co/image/ab67616d00001e0271d62ea7ea8a5be92d3c1f62
"Good Luck, Babe!",Chappell Roan,"Good Luck, Babe!",Pop,89,2020,https://i.scdn.co/image/ab67616d00001e0291b4bc7c88d91a42e0f3a8b7
Sailor Song,Gigi Perez,Sailor Song,Pop,89,2020,https://i.scdn.co/image/ab67616d00001e02e6065f209e0a01986206bd53
WILDFLOWER,Billie Eilish,HIT ME HARD AND SOFT,Pop,90,2020,https://i.scdn.co/image/ab67616d00001e0271d62ea7ea8a5be92d3c1f62
No One Noticed,The Marías,Submarine,Pop,84,2020,https://i.scdn.co/image/ab67616d00001e024d070fdf58fad8c54c5beb85
Timeless,The Weeknd | Playboi Carti,Timeless,Pop,87,2020,https://i.scdn.co/image/ab67616d00001e0258cd6595ed970f6862906ab8
Taste,Sabrina Carpenter,Short n' Sweet,Pop,86,2020,https://i.scdn.co/image/ab67616d00001e02fd8d7a8d96871e791cb1f626
Snooze,SZA,SOS,Pop,84,2020,https://i.scdn.co/image/ab67616d00001e0270dbc9f47669d120ad874ec1
Pink Pony Club,Chappell Roan,The Rise and Fall of a Midwest Princess,Pop,83,2020,https://i.scdn.co/image/ab67616d00001e0296fa88fb1789be437d5cb4b6
Stick Season,Noah Kahan,Stick Season,Pop,82,2020,https://i.scdn.co/image/ab67616d00001e026ee35072df1af802cca09918
I Never Lie,Zach Top,Cold Beer & Country Music,Pop,77,2020,https://i.scdn.co/image/ab67616d00001e02e60cfb182df9bf24b4713edd
Bed Chem,Sabrina Carpenter,Short n' Sweet,Pop,83,2020,https://i.scdn.co/image/ab67616d00001e02fd8d7a8d96871e791cb1f626
CHIHIRO,Billie Eilish,HIT ME HARD AND SOFT,Pop,85,2020,https://i.scdn.co/image/ab67616d00001e0271d62ea7ea8a5be92d3c1f62
Pink Pony Club,Chappell Roan,The Rise and Fall of a Midwest Princess,Pop,81,2020,https://i.scdn.co/image/ab67616d00001e02a21d22ecf823e1c90aa22d1f
Beautiful Things,Benson Boone,Fireworks & Rollerblades,Pop,85,2020,https://i.scdn.co/image/ab67616d00001e02cc04ff3e70e146ba9abacf40
Messy,Lola Young,Messy,Pop,86,2020,https://i.scdn.co/image/ab67616d00001e02a0cb974834e04f46b63b99a8
Red Wine Supernova,Chappell Roan,The Rise and Fall of a Midwest Princess,Pop,80,2020,https://i.scdn.co/image/ab67616d00001e0296fa88fb1789be437d5cb4b6
I Had Some Help,Post Malone | Morgan Wallen,F-1 Trillion,Pop,79,2020,https://i.scdn.co/image/ab67616d00001e0288208159b1b3c69eefdeb2e0
Espresso,Sabrina Carpenter,Short n' Sweet,Pop,84,2020,https://i.scdn.co/image/ab67616d00001e02fd8d7a8d96871e791cb1f626
A Bar Song,Shaboozey,A Bar Song,Pop,81,2020,https://i.scdn.co/image/ab67616d00001e0280d86d636244b72a3a1eede2
Slow It Down,Benson Boone,Fireworks & Rollerblades,Pop,82,2020,https://i.scdn.co/image/ab67616d00001e02cc04ff3e70e146ba9abacf40
Wind Up Missin’ You,Tucker Wetmore,Waves On A Sunset,Pop,76,2020,https://i.scdn.co/image/ab67616d00001e02201038e1f96d823bbe379336
the perfect pair,beabadoobee,Beatopia,Pop,80,2020,https://i.scdn.co/image/ab67616d00001e02384d10f967c2b914de7e2713
Juno,Sabrina Carpenter,Short n' Sweet,Pop,81,2020,https://i.scdn.co/image/ab67616d00001e02fd8d7a8d96871e791cb1f626
One Of The Girls,The Weeknd | JENNIE,The Idol Episode 4,Pop,87,2020,https://i.scdn.co/image/ab67616d00001e02b0dd6a5cd1dec96c4119c262
Kill Bill,SZA,SOS,Pop,82,2020,https://i.scdn.co/image/ab67616d00001e020c471c36970b9406233842a5
Messy,Lola Young,This Wasn't Meant For You Anyway,Pop,83,2020,https://i.scdn.co/image/ab67616d00001e026aa2a180c7b009ca8454ef89
Real Man,beabadoobee,This Is How Tomorrow Moves,Pop,80,2020,https://i.scdn.co/image/ab67616d00001e027d9a2e7835a178df7b0153aa
Worst Way,Riley Green,Way Out Here,Pop,75,2020,https://i.scdn.co/image/ab67616d00001e023e3cacc30688b39ffed26334
Sweater Weather,The Neighbourhood,I Love You.,Pop,85,2010,https://i.scdn.co/image/ab67616d00001e028265a736a1eb838ad5a0b921
Again,Fetty Wap,Fetty Wap,Pop,77,2010,https://i.scdn.co/image/ab67616d00001e02df7c1e1c441dd172ea8f29f9
Take Me to Church,Hozier,Hozier,Pop,76,2010,https://i.scdn.co/image/ab67616d00001e024ca68d59a4a29c856a4a39c2
Just the Way You Are,Bruno Mars,Doo-Wops & Hooligans,Pop,82,2010,https://i.scdn.co/image/ab67616d00001e02f6b55ca93bd33211227b502b
Locked out of Heaven,Bruno Mars,Unorthodox Jukebox,Pop,85,2010,https://i.scdn.co/image/ab67616d00001e02926f43e7cce571e62720fd46
That's What I Like,Bruno Mars,24K Magic,Pop,84,2010,https://i.scdn.co/image/ab67616d00001e02232711f7d66a1e19e89e28c5
Work Song,Hozier,Hozier,Pop,75,2010,https://i.scdn.co/image/ab67616d00001e024ca68d59a4a29c856a4a39c2
Love Me,Lil Wayne | Drake,I Am Not A Human Being II,Pop,80,2010,https://i.scdn.co/image/ab67616d00001e0280c64a084164867806ea617a
Cruel Summer,Taylor Swift,Lover,Pop,84,2010,https://i.scdn.co/image/ab67616d00001e02e787cffec20aa2a396a61647
Broken Clocks,SZA,Ctrl,Pop,77,2010,https://i.scdn.co/image/ab67616d00001e024c79d5ec52a6d0302f3add25
The Hills,The Weeknd,Beauty Behind The Madness,Pop,81,2010,https://i.scdn.co/image/ab67616d00001e027fcead687e99583072cc217b
Headlines,Drake,Take Care,Pop,76,2010,https://i.scdn.co/image/ab67616d00001e02c7ea04a9b455e3f68ef82550
When I Was Your Man,Bruno Mars,Unorthodox Jukebox,Pop,83,2010,https://i.scdn.co/image/ab67616d00001e02926f43e7cce571e62720fd46
Daddy Issues,The Neighbourhood,Wiped Out!,Pop,80,2010,https://i.scdn.co/image/ab67616d00001e023066581d697fbdee4303d685
Trap Queen,Fetty Wap,Fetty Wap,Pop,74,2010,https://i.scdn.co/image/ab67616d00001e02df7c1e1c441dd172ea8f29f9
Circles,Post Malone,Hollywood's Bleeding,Pop,80,2010,https://i.scdn.co/image/ab67616d00001e029478c87599550dd73bfa7e02
Space Song,Beach House,Depression Cherry,Pop,73,2010,https://i.scdn.co/image/ab67616d00001e029b7190e673e46271b2754aab
Starboy,The Weeknd | Daft Punk,Starboy,Pop,84,2010,https://i.scdn.co/image/ab67616d00001e024718e2b124f79258be7bc452
Someone New,Hozier,Hozier,Pop,73,2010,https://i.scdn.co/image/ab67616d00001e024ca68d59a4a29c856a4a39c2
Bad At Love,Halsey,hopeless fountain kingdom,Pop,77,2010,https://i.scdn.co/image/ab67616d00001e0207fdb7827a09741192c6242e
Passionfruit,Drake,More Life,Pop,78,2010,https://i.scdn.co/image/ab67616d00001e024f0fd9dad63977146e685700
One Dance,Drake | Wizkid,Views,Pop,81,2010,https://i.scdn.co/image/ab67616d00001e029416ed64daf84936d89e671c
Love Galore,SZA | Travis Scott,Ctrl,Pop,75,2010,https://i.scdn.co/image/ab67616d00001e024c79d5ec52a6d0302f3add25
Something Just Like This,The Chainsmokers | Coldplay,Memories...Do Not Open,Pop,83,2010,https://i.scdn.co/image/ab67616d00001e020c13d3d5a503c84fcc60ae94
lovely,Billie Eilish | Khalid,lovely,Pop,82,2010,https://i.scdn.co/image/ab67616d00001e028a3f0a3ca7929dea23cd274c
when the party's over,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",Pop,80,2010,https://i.scdn.co/image/ab67616d00001e0250a3147b4edd7701a876c6ce
Love On The Brain,Rihanna,ANTI,Pop,80,2010,https://i.scdn.co/image/ab67616d00001e0233c6b920eabcf4c00d7a1093
Ric Flair Drip,Offset | Metro Boomin,Without Warning,Pop,77,2010,https://i.scdn.co/image/ab67616d00001e020db43130a9aaa7bae56967ed
Grenade,Bruno Mars,Doo-Wops & Hooligans,Pop,74,2010,https://i.scdn.co/image/ab67616d00001e02f6b55ca93bd33211227b502b
Softcore,The Neighbourhood,Hard To Imagine The Neighbourhood Ever Changing,Pop,81,2010,https://i.scdn.co/image/ab67616d00001e029b6ac98a52f62d5cb473da40
Yellow,Coldplay,Parachutes,Pop,85,2000,https://i.scdn.co/image/ab67616d00001e029164bafe9aaa168d93f4816a
Viva La Vida,Coldplay,Viva La Vida or Death and All His Friends,Pop,82,2000,https://i.scdn.co/image/ab67616d00001e02e21cc1db05580b6f2d2a3b6e
Yeah!,USHER | Lil Jon,Confessions,Pop,80,2000,https://i.scdn.co/image/ab67616d00001e02365b3fb800c19f7ff72602da
Promiscuous,Nelly Furtado | Timbaland,Loose,Pop,80,2000,https://i.scdn.co/image/ab67616d00001e02a6f439c8957170652f9410e2
The Middle,Jimmy Eat World,Bleed American,Pop,76,2000,https://i.scdn.co/image/ab67616d00001e0295d1d98c5176e4f982bd73d6
Misery Business,Paramore,Riot!,Pop,71,2000,https://i.scdn.co/image/ab67616d00001e02bee754528c08d5ff6799a1eb
Poker Face,Lady Gaga,The Fame,Pop,74,2000,https://i.scdn.co/image/ab67616d00001e02613aaa3ae566d9f36008aed0
Unwritten,Natasha Bedingfield,Unwritten,Pop,81,2000,https://i.scdn.co/image/ab67616d00001e02b337e1ca6629a53c66a3b0d4
The Scientist,Coldplay,A Rush of Blood to the Head,Pop,83,2000,https://i.scdn.co/image/ab67616d00001e02de09e02aa7febf30b7c02d82
Party In The U.S.A.,Miley Cyrus,The Time Of Our Lives,Pop,71,2000,https://i.scdn.co/image/ab67616d00001e02d6c3ad6a2a27471e1d5e8103
How to Save a Life,The Fray,How To Save A Life,Pop,78,2000,https://i.scdn.co/image/ab67616d00001e0259b8b957f164ce660919f1f4
Maneater,Nelly Furtado,Loose,Pop,78,2000,https://i.scdn.co/image/ab67616d00001e02a6f439c8957170652f9410e2
You,Lloyd | Lil Wayne,Street Love,Pop,73,2000,https://i.scdn.co/image/ab67616d00001e02eec376776dc8377060f2be5c
Breakin' Dishes,Rihanna,Good Girl Gone Bad,Pop,70,2000,https://i.scdn.co/image/ab67616d00001e02b9ff0a5f40d3406aed5e5e3b
Crazy In Love,Beyoncé | JAY-Z,Dangerously In Love,Pop,74,2000,https://i.scdn.co/image/ab67616d00001e0245680a4a57c97894490a01c1
The Way I Are,Timbaland | Keri Hilson,Shock Value,Pop,78,2000,https://i.scdn.co/image/ab67616d00001e024ed674ab91bdc566534f9285
Dog Days Are Over,Florence + The Machine,Lungs,Pop,70,2000,https://i.scdn.co/image/ab67616d00001e020672b0f8756ae2af86e8a5ce
Love,Keyshia Cole,The Way It Is,Pop,76,2000,https://i.scdn.co/image/ab67616d00001e022cc2323c681b3f84cdc8379a
Just Dance,Lady Gaga | Colby O'Donis,The Fame,Pop,72,2000,https://i.scdn.co/image/ab67616d00001e02613aaa3ae566d9f36008aed0
Rock Your Body,Justin Timberlake,Justified,Pop,75,2000,https://i.scdn.co/image/ab67616d00001e02346a5742374ab4cf9ed32dee
"Sugar, We're Goin Down",Fall Out Boy,From Under The Cork Tree,Pop,73,2000,https://i.scdn.co/image/ab67616d00001e0271565eda831124be86c603d5
The Sweet Escape,Gwen Stefani | Akon,The Sweet Escape,Pop,70,2000,https://i.scdn.co/image/ab67616d00001e028dd53da15b55d402dfc3a20e
Island In The Sun,Weezer,Weezer,Pop,74,2000,https://i.scdn.co/image/ab67616d00001e021e0dc5baaabda304b0ad1815
Bad Romance,Lady Gaga,The Fame Monster,Pop,79,2000,https://i.scdn.co/image/ab67616d00001e025c9890c0456a3719eeecd8aa
Drops of Jupiter,Train,Drops Of Jupiter,Pop,75,2000,https://i.scdn.co/image/ab67616d00001e02a65df73c4011b6a9357c89f0
Buy U a Drank,T-Pain | Yung Joc,Epiphany,Pop,72,2000,https://i.scdn.co/image/ab67616d00001e02baf2f329d4feeb19761eddf4
This Love,Maroon 5,Songs About Jane: 10th Anniversary Edition,Pop,78,2000,https://i.scdn.co/image/ab67616d00001e0292f2d790c6a97b195f66d51e
"You're Gonna Go Far, Kid",The Offspring,"Rise And Fall, Rage And Grace",Pop,76,2000,https://i.scdn.co/image/ab67616d00001e02890ce61533a89e00ce593fcb
Hips Don't Lie,Shakira | Wyclef Jean,"Oral Fixation, Vol. 2",Pop,80,2000,https://i.scdn.co/image/ab67616d00001e0227ddd747545c0d0cfe7595fa
My Love,Justin Timberlake | T.I.,FutureSex/LoveSounds Deluxe Edition,Pop,74,2000,https://i.scdn.co/image/ab67616d00001e02c68f26a3d34fbd0faed2b473
Iris,The Goo Goo Dolls,Dizzy up the Girl,Pop,84,1990,https://i.scdn.co/image/ab67616d00001e02eda9478c39a21e1cdc6609ca
Fade Into You,Mazzy Star,So Tonight That I Might See,Pop,79,1990,https://i.scdn.co/image/ab67616d00001e0289a392107ebd79818022b3ea
Linger,The Cranberries,"Everybody Else Is Doing It, So Why Can't We?",Pop,79,1990,https://i.scdn.co/image/ab67616d00001e02f6325f361d7803ad0d908451
Kiss Me,Sixpence None The Richer,Sixpence None the Richer,Pop,78,1990,https://i.scdn.co/image/ab67616d00001e02b182816802535e73e697a1a6
No Scrubs,TLC,Fanmail,Pop,77,1990,https://i.scdn.co/image/ab67616d00001e0261ffafd5e31a37336531cf95
All The Small Things,blink-182,Enema Of The State,Pop,76,1990,https://i.scdn.co/image/ab67616d00001e026da502e35a7a3e48de2b0f74
Teenage Dirtbag,Wheatus,Wheatus,Pop,76,1990,https://i.scdn.co/image/ab67616d00001e020a3740efa638f10f14fabc46
Zombie,The Cranberries,No Need To Argue,Pop,78,1990,https://i.scdn.co/image/ab67616d00001e0272d481a5999197ef5f42f796
Lovefool,The Cardigans,First Band On The Moon,Pop,75,1990,https://i.scdn.co/image/ab67616d00001e020aac8ca880151fda470e91af
